Population Size, CrossOver Rate, Mutation Rate, Tournament Size, Best Fitness, Elitism
2500, 0.06, 0.015, 2, 0.2, 20637
3000, 0.06, 0.001, 2, 0.0, 20205
2500, 0.06, 0.001, 2, 0.2, 20608
2500, 0.5, 0.015, 2, 0.2, 20708
3000, 0.5, 0.015, 2, 0.4, 20201
3000, 0.65, 0.015, 10, 0.4, 20453
3500, 0.65, 0.02, 2, 0.0, 18959
2500, 0.07, 0.02, 10, 0.6, 19441
2500, 0.5, 0.015, 2, 0.0, 19544
3000, 0.55, 0.01, 2, 0.4, 19408
2500, 0.55, 0.02, 2, 0.0, 17831
3000, 0.65, 0.005, 2, 0.0, 20591
3000, 0.06, 0.005, 2, 0.6, 16652
3000, 0.07, 0.001, 10, 0.4, 19731
3000, 0.55, 0.015, 2, 0.2, 20584
2500, 0.07, 0.001, 2, 0.6, 17840
3500, 0.5, 0.01, 5, 0.6, 19380
2500, 0.06, 0.001, 10, 0.6, 18706
2500, 0.55, 0.02, 5, 0.4, 18641
2500, 0.07, 0.02, 5, 0.4, 19886
3000, 0.07, 0.001, 5, 0.2, 20438
3500, 0.07, 0.02, 2, 0.4, 19437
2500, 0.5, 0.005, 5, 0.4, 19744
3500, 0.06, 0.005, 10, 0.2, 20968
3000, 0.07, 0.01, 5, 0.0, 19596
3500, 0.07, 0.02, 5, 0.0, 19369
3000, 0.5, 0.015, 10, 0.0, 19102
2500, 0.06, 0.001, 10, 0.2, 20159
3000, 0.06, 0.01, 5, 0.2, 20145
2500, 0.07, 0.005, 10, 0.0, 20704
3000, 0.07, 0.005, 5, 0.4, 21157
3500, 0.07, 0.005, 10, 0.0, 19984
3000, 0.55, 0.02, 2, 0.2, 18405
2500, 0.5, 0.02, 2, 0.6, 20344
3000, 0.07, 0.01, 2, 0.0, 18588
2500, 0.06, 0.01, 2, 0.4, 20078
2500, 0.06, 0.005, 2, 0.6, 20657
3500, 0.5, 0.01, 2, 0.6, 19897
3000, 0.06, 0.01, 2, 0.2, 18976
3000, 0.06, 0.001, 2, 0.4, 17450
2500, 0.55, 0.001, 5, 0.0, 21365
3500, 0.07, 0.015, 5, 0.4, 18587
2500, 0.06, 0.02, 5, 0.6, 19415
2500, 0.06, 0.01, 5, 0.2, 21677
2500, 0.65, 0.001, 2, 0.6, 20647
3500, 0.06, 0.01, 2, 0.6, 19606
2500, 0.07, 0.001, 2, 0.0, 18825
2500, 0.07, 0.005, 5, 0.6, 19694
2500, 0.55, 0.015, 10, 0.2, 22718
3000, 0.55, 0.005, 2, 0.0, 19093
3000, 0.06, 0.001, 10, 0.2, 20519
2500, 0.65, 0.005, 2, 0.0, 20698
3000, 0.55, 0.001, 10, 0.4, 16765
3500, 0.07, 0.005, 5, 0.4, 19090
3500, 0.06, 0.01, 5, 0.0, 20211
2500, 0.65, 0.02, 2, 0.4, 19829
3500, 0.5, 0.001, 5, 0.0, 19065
3500, 0.5, 0.015, 5, 0.6, 18553
3500, 0.55, 0.01, 5, 0.6, 19160
2500, 0.06, 0.005, 5, 0.6, 19296
2500, 0.65, 0.005, 5, 0.6, 18511
3500, 0.65, 0.01, 10, 0.2, 18804
3000, 0.65, 0.015, 10, 0.2, 20566
2500, 0.5, 0.001, 10, 0.6, 20528
3500, 0.06, 0.015, 10, 0.0, 19790
3500, 0.06, 0.01, 5, 0.2, 18093
3500, 0.65, 0.005, 5, 0.6, 19520
3500, 0.07, 0.015, 5, 0.2, 19730
3000, 0.07, 0.02, 5, 0.2, 21537
2500, 0.07, 0.01, 5, 0.4, 21480
3000, 0.55, 0.01, 2, 0.2, 18948
3000, 0.07, 0.01, 5, 0.6, 20833
3000, 0.07, 0.02, 10, 0.4, 19919
3000, 0.06, 0.015, 2, 0.4, 19608
3500, 0.65, 0.005, 5, 0.2, 18970
3500, 0.07, 0.001, 5, 0.6, 20219
3000, 0.65, 0.01, 10, 0.0, 19064
3500, 0.06, 0.02, 2, 0.2, 19678
2500, 0.06, 0.02, 10, 0.4, 18558
2500, 0.06, 0.02, 10, 0.6, 21641
2500, 0.55, 0.015, 2, 0.0, 17101
3500, 0.06, 0.015, 2, 0.0, 18058
3000, 0.55, 0.015, 10, 0.4, 20667
3000, 0.06, 0.01, 10, 0.4, 18410
3500, 0.65, 0.001, 2, 0.0, 20514
2500, 0.55, 0.005, 2, 0.0, 19621
2500, 0.07, 0.015, 2, 0.0, 20966
2500, 0.07, 0.01, 2, 0.6, 19891
3500, 0.06, 0.001, 10, 0.6, 17992
3500, 0.06, 0.015, 10, 0.6, 19958
3000, 0.07, 0.02, 2, 0.0, 19267
2500, 0.06, 0.015, 10, 0.6, 19385
3000, 0.07, 0.005, 2, 0.0, 19526
2500, 0.55, 0.001, 10, 0.4, 17796
2500, 0.55, 0.02, 2, 0.4, 21008
2500, 0.65, 0.02, 2, 0.6, 20041
2500, 0.55, 0.005, 2, 0.4, 20394
3500, 0.5, 0.001, 10, 0.4, 20944
2500, 0.06, 0.02, 2, 0.2, 20252
3500, 0.5, 0.01, 10, 0.4, 20225
2500, 0.55, 0.02, 10, 0.6, 19572
3500, 0.06, 0.01, 2, 0.4, 20842
2500, 0.06, 0.015, 2, 0.0, 18764
2500, 0.06, 0.001, 10, 0.4, 19208
2500, 0.07, 0.02, 2, 0.0, 18724
3000, 0.5, 0.015, 2, 0.2, 18861
3500, 0.55, 0.015, 10, 0.4, 20288
3000, 0.06, 0.02, 2, 0.4, 20577
3000, 0.07, 0.005, 10, 0.6, 18301
2500, 0.06, 0.02, 2, 0.6, 17142
3000, 0.55, 0.001, 2, 0.2, 20566
2500, 0.5, 0.001, 2, 0.0, 18201
3500, 0.65, 0.01, 2, 0.2, 20277
3000, 0.55, 0.015, 2, 0.4, 19016
3500, 0.55, 0.015, 2, 0.0, 20495
3500, 0.06, 0.001, 2, 0.6, 20166
2500, 0.55, 0.01, 2, 0.6, 20803
3000, 0.55, 0.01, 10, 0.6, 20099
3500, 0.65, 0.005, 10, 0.6, 19333
2500, 0.07, 0.01, 10, 0.4, 17990
3500, 0.5, 0.001, 2, 0.2, 14641
3500, 0.07, 0.015, 2, 0.0, 17502
3500, 0.5, 0.015, 2, 0.2, 18754
3500, 0.65, 0.02, 2, 0.6, 19852
3000, 0.06, 0.01, 2, 0.6, 19865
3000, 0.55, 0.02, 10, 0.4, 19718
3000, 0.07, 0.01, 10, 0.4, 20414
2500, 0.07, 0.015, 2, 0.4, 18266
3000, 0.06, 0.01, 2, 0.0, 20806
2500, 0.5, 0.01, 10, 0.6, 20962
3000, 0.07, 0.001, 2, 0.6, 21163
2500, 0.07, 0.005, 2, 0.4, 17893
2500, 0.55, 0.001, 2, 0.4, 19517
3000, 0.55, 0.01, 2, 0.0, 18728
3500, 0.07, 0.001, 2, 0.0, 18610
3000, 0.07, 0.001, 2, 0.2, 18886
3000, 0.06, 0.015, 2, 0.2, 19640
3500, 0.06, 0.005, 10, 0.6, 18614
3500, 0.06, 0.001, 2, 0.0, 20644
2500, 0.65, 0.015, 10, 0.4, 20918
3000, 0.55, 0.001, 2, 0.0, 18719
3500, 0.07, 0.001, 10, 0.4, 20398
3000, 0.65, 0.015, 2, 0.4, 18343
2500, 0.07, 0.02, 2, 0.2, 21092
3500, 0.06, 0.02, 10, 0.6, 16732
3000, 0.07, 0.015, 2, 0.6, 19895
2500, 0.65, 0.02, 2, 0.2, 20164
2500, 0.5, 0.015, 5, 0.0, 20500
2500, 0.07, 0.02, 2, 0.4, 18947
3500, 0.55, 0.001, 2, 0.2, 19264
2500, 0.07, 0.005, 10, 0.6, 19305
3500, 0.55, 0.001, 2, 0.0, 19375
3500, 0.5, 0.02, 10, 0.4, 16941
3000, 0.07, 0.01, 2, 0.2, 19071
3500, 0.07, 0.005, 2, 0.0, 20236
3500, 0.65, 0.001, 10, 0.4, 19683
3000, 0.06, 0.005, 2, 0.0, 19348
3000, 0.5, 0.005, 2, 0.4, 20118
2500, 0.55, 0.005, 2, 0.6, 19362
3000, 0.07, 0.015, 2, 0.2, 18259
2500, 0.06, 0.01, 2, 0.6, 20175
3500, 0.5, 0.02, 10, 0.6, 20945
2500, 0.07, 0.001, 10, 0.4, 20547
3000, 0.5, 0.01, 10, 0.4, 20559
2500, 0.07, 0.005, 10, 0.4, 18511
3500, 0.07, 0.01, 2, 0.6, 18970
3500, 0.07, 0.01, 2, 0.2, 20674
2500, 0.5, 0.005, 10, 0.6, 20873
3000, 0.5, 0.015, 10, 0.6, 18235
3000, 0.5, 0.005, 2, 0.0, 19587
2500, 0.07, 0.02, 2, 0.6, 20158
3500, 0.06, 0.01, 5, 0.4, 20853
2500, 0.65, 0.001, 2, 0.2, 19602
3500, 0.55, 0.005, 2, 0.2, 19942
